Economic Sector,Status,Zipcode,Company,Job Title,Origin Country,Pay
IT,Accepted,10036,RMS COMPUTER CORPORATION,Computer and Information Scientists; Research,INDIA,66123.2
Aerospace,Accepted,10017,THE CANTOR SEINUK GROUP INC D/B/A WSP CANTOR SEINUK,Engineering Managers,CANADA,117333
Advanced Mfg,Withdrawn,11208,ULTRA FLEX PACKAGING CORP,Operations Research Analysts,ISRAEL,56950.4
Finance,Accepted,10005,QBE AMERICAS; INC.,Operations Research Analysts,ARGENTINA,56950.4
Other Economic Sector,Accepted,10010,TNS CUSTOM RESEARCH,Market Research Analysts,INDIA,75525
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10012,OFFICE 4 ARCHITECTURE; PC,Urban and Regional Planners,BRAZIL,50086.4
Other Economic Sector,Accepted,10003,HLW INTERNATIONAL LLP,Architects; Except Landscape and Naval,COLOMBIA,53290
Other Economic Sector,Denied,10001,GLOBAL WORKS GROUP LLC,Advertising and Promotions Managers,VENEZUELA,150280
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Advanced Mfg,Denied,11101,DC GROUP D/B/A UNIQUE SETTINGS OF NEW YORK,Jewelers,TURKEY,41454
IT,Accepted,10001,MAJESCOMASTEK,Computer and Information Systems Managers,INDIA,83300
Finance,Accepted,10043,CITICORP CREDIT SERVICES; INC. (USA),Computer Software Engineers; Applications,INDIA,90896
IT,Accepted,10001,MAJESCOMASTEK,Computer Programmer Non R & D,INDIA,59613
Other Economic Sector,Accepted,10020,SIRIUS XM RADIO; INC,Database Administrators,INDIA,104083
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Computer Software Engineers; Applications,INDIA,68910
Other Economic Sector,Accepted,10005,CAHILL GORDON & REINDEL LLP,Lawyers,COLOMBIA,123156.8
Other Economic Sector,Accepted,11377,B & S FRAGRANCES & COSMETICS INC.,Web Developers,INDIA,76024
Finance,Accepted,10022,E*TRADE FINANCIAL CORPORATION,Computer Software Engineers; Systems Software,INDIA,94206
Advanced Mfg,Accepted,10022,SORRENTO LACTALIS; INC,Food Scientists and Technologists,INDIA,46072
Finance,Accepted,10005,MSCI INC.,Financial Analysts,LEBANON,78312
Finance,Accepted,10103,MPG OPERATIONS; LLC,Operations Research Analysts,RUSSIA,56950.4
Finance,Accepted,10043,CITIBANK; N.A,Operations Research Analysts,INDIA,80059
Finance,Accepted,10043,CITICORP NORTH AMERICA INC.,Management Analysts,VENEZUELA,106413
Not Available,Accepted,10004,SECONDMARKET HOLDINGS; INC.,Computer Systems Analysts,UKRAINE,74422.4
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,KENYA,91540.8
Advanced Mfg,Accepted,11208,ULTRA FLEX PACKAGING CORP,Engineering Managers,INDIA,121222.4
Finance,Accepted,10281,RBC CAPITAL MARKETS; LLC,Financial Analysts,INDIA,113859.2
Other Economic Sector,Accepted,10036,JYACC; INC. D/B/A PROLIFICS,Computer Software Engineers; Applications,INDIA,117707.2
IT,Accepted,10036,SDL TRIDION INC,Computer Systems Analysts,INDIA,103834
IT,Accepted,10036,SDL TRIDION INC,Computer Systems Analysts,NETHERLANDS,103834
IT,Accepted,10036,SDL TRIDION INC,Computer Systems Analysts,SPAIN,103834
Other Economic Sector,Accepted,11365,AMMANN & WHITNEY; INC.,Civil Engineers,INDIA,60320
IT,Accepted,10036,RMS COMPUTER CORPORATION,Computer and Information Scientists; Research,INDIA,45780.8
Educational Services,Accepted,10027,COLUMBIA UNIVERSITY,Business Teachers; Postsecondary,ISRAEL,57500
IT,Accepted,10036,RMS COMPUTER CORPORATION,Computer and Information Scientists; Research,INDIA,45780.8
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Accepted,10036,HBK NEW YORK LLC.,Securities; Commodities; and Financial Services Sales Agents,RUSSIA,167752
Finance,Accepted,10005,DEUTSCHE BANK SECURITIES; INC.,Financial Managers; Branch or Department,INDIA,91062
Health Care,Accepted,10017,MEMORIAL SLOAN-KETTERING CANCER CENTER,Computer Systems Engineers/Architects,HONG KONG,108825.6
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants,SWITZERLAND,104562
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Systems Analysts,HONG KONG,105456
Finance,Accepted,10022,DEMAND INSIGHTS LLC DBA TRAJECTORY ASSET MGMT LLC,Financial Analysts,ISRAEL,113859.2
Finance,Accepted,10065,BERENSON & COMPANY; LLC,Financial Managers,UNITED KINGDOM,168417.6
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Computer Software Engineers; Systems Software,INDIA,142875.2
IT,Accepted,10001,MAJESCOMASTEK,Computer and Information Systems Managers,INDIA,83300
Other Economic Sector,Denied,10001,GLOBAL WORKS GROUP LLC,Advertising and Promotions Managers,VENEZUELA,150280
Other Economic Sector,Accepted,10023,TIME WARNER ENTERTAINMENT COMPANY; L.P.,Computer Software Engineers; Applications,INDIA,106849.6
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Accepted,10041,STANDARD & POORS FINANCIAL SERVICES LLC,Computer Software Engineers; Applications,INDIA,117312
Finance,Accepted,10018,ADVISEN LTD,Statisticians,CHINA,79310
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,CHINA,85592
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Computer Software Engineers; Applications,INDIA,133078.4
IT,Accepted,10014,SAP GLOBAL MARKETING; INC.,Computer and Information Systems Managers,GERMANY,175302
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Systems Analysts,INDIA,105456
Finance,Accepted,10022,JEFFERIES & COMPANY,Financial Managers; Branch or Department,INDIA,158579.2
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Health Care,Accepted,10018,PULMONARY WELLNESS REHABILITATION P.T. P.C.,Physical Therapists,GHANA,61360
Finance,Accepted,10022,JEFFERIES & COMPANY,Financial Analysts,INDIA,113859.2
Finance,Accepted,10022,JEFFERIES & COMPANY,Computer Software Engineers; Systems Software,INDIA,118664
Educational Services,Accepted,11210,BROOKLYN COLLEGE OF THE CITY UNIVERSITY OF NEW YOR,Psychology Teachers; Postsecondary,CANADA,64956
Hospitality,Accepted,11356,SPA CASTLE INC.,Market Research Analysts,SOUTH KOREA,87464
Finance,Accepted,10001,BEIGE HOLDING LLC.,Financial Managers,MEXICO,160680
Finance,Accepted,10019,MACQUARIE HOLDINGS (USA) INC.,Accountants,SINGAPORE,106538
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Computer Software Engineers; Systems Software,INDIA,143582
IT,Accepted,10012,TAKE-TWO INTERACTIVE SOFTWARE; INC.,Computer Software Engineers; Applications,CHINA,105643
IT,Withdrawn,10012,TAKE-TWO INTERACTIVE SOFTWARE; INC.,Computer Software Engineers; Applications,SOUTH KOREA,105643
IT,Accepted,10017,INTRALINKS; INC.,Computer Software Engineers; Applications,INDIA,85529.6
Finance,Accepted,10022,BLACKROCK FINANCIAL MANAGEMENT,Computer Software Engineers; Applications,INDIA,85530
Finance,Accepted,10036,METLIFE GROUP; INC.,Financial Analysts,CHINA,100464
Energy,Accepted,10022,POTEN & PARTNERS INC.,Market Research Analysts,JAPAN,58906
IT,Accepted,10018,BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,Computer Software Engineers; Applications,INDIA,85529.6
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Systems Analysts,INDIA,74422.4
Educational Services,Accepted,10032,COLUMBIA UNIVERSITY,Health Specialties Teachers; Postsecondary,SOUTH AFRICA,62420
Other Economic Sector,Accepted,10018,R/GA MEDIA GROUP,Computer Software Engineers; Applications,INDIA,117707.2
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Software Engineers; Systems Software,INDIA,71489.6
Finance,Accepted,10019,KOHLBERG KRAVIS ROBERTS & CO.,Financial Analysts,CANADA,136989
Advanced Mfg,Accepted,11208,ULTRA FLEX PACKAGING CORP,Operations Research Analysts,ISRAEL,56950.4
IT,Accepted,10019,ARVATO SYSTEMS NA;INC.,Computer and Information Systems Managers,GERMANY,97718
Finance,Accepted,10004,THE GUARDIAN LIFE INSURANCE CO. OF AMERICA,Computer Software Engineers; Applications,INDIA,117707.2
Finance,Accepted,10281,NOMURA SECURITIES INTERNATIONAL; INC.,Financial Analysts,INDIA,136989
Retail,Accepted,10021,SOTHEBYS,Marketing Managers,BELGIUM,160513.6
Other Economic Sector,Withdrawn,10016,HMS,Computer Systems Analysts,INDIA,82867.2
Finance,Accepted,10281,NOMURA SECURITIES INTERNATIONAL; INC.,Financial Managers; Branch or Department,BRAZIL,195499
Other Economic Sector,Denied,11378,BHAVANI FRUIT & VEGETABLE; LLC,Wholesale and Retail Buyers; Except Farm Products,INDIA,73611
Finance,Accepted,10019,FIDUCIAL SUPPORT SYSTEMS; INC.,Network and Computer Systems Administrators,CANADA,46946
Finance,Accepted,10018,CONFLUENTIA GROUP LLC,Financial Managers; Branch or Department,UNITED KINGDOM,195499
Finance,Accepted,10105,FORTRESS INVESTMENT GROUP LLC,Financial Analysts,SOUTH KOREA,139505.6
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Software Engineers; Applications,INDIA,117707.2
Other Economic Sector,Accepted,10018,EVERIC LLC,Market Research Analysts,TAIWAN,43784
Finance,Accepted,10005,DEUTSCHE BANK SECURITIES; INC.,Financial Analysts,CHINA,86965
Other Economic Sector,Accepted,10013,LAW OFFICE OF STEPHEN GLEIT,Lawyers,POLAND,82243
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Computer Systems Analysts,INDIA,89086
IT,Accepted,10022,GENESIS CORP,Computer Systems Analysts,INDIA,102398.4
Finance,Accepted,10022,MADISON REALTY CAPITAL ADVISORS LLC,Financial Managers,ISRAEL,131248
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Database Administrators,INDIA,103376
Finance,Accepted,10004,THE GUARDIAN LIFE INSURANCE CO. OF AMERICA,Computer Software Engineers; Applications,INDIA,117707.2
Finance,Denied,10282,GOLDMAN; SACHS & CO.,Financial Managers,UNITED KINGDOM,131248
Finance,Accepted,10020,SOCIETE GENERALE ENERGY CORP.,Financial Analysts,INDIA,136989
IT,Accepted,10004,PROFESSIONAL ACCESS LTD,Computer Software Engineers; Applications,INDIA,95555
Finance,Accepted,10043,CITIGROUP GLOBAL MARKETS INC.,Operations Research Analysts,INDIA,57054
Other Economic Sector,Accepted,10005,THE CAPITAL MARKETS COMPANY,Management Analysts,KENYA,82014.4
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Applications,CHINA,82514
IT,Accepted,10017,INTRALINKS; INC.,Computer Software Engineers; Applications,INDIA,111488
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Mathematicians,JAPAN,65270.4
Advanced Mfg,Denied,10065,AEB INTERNATIONAL; INC.,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products,INDIA,50482
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,RUSSIA,85592
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,BULGARIA,91540.8
Health Care,Accepted,11432,MARGARET TIETZ NURSING HOME AND REHAB CENTER,Network and Computer Systems Administrators,TAIWAN,58614.4
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,PALESTINE,85592
Health Care,Accepted,10017,P&K OF NEW YORK MANAGEMENT SERVICES; INC.,Operations Research Analysts,PHILIPPINES,86777.6
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,CHINA,82368
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Operations Research Analysts,CHINA,57054
Finance,Accepted,10019,BARCLAYS SERVICES CORP,Computer Systems Analysts,INDIA,89939.2
Finance,Accepted,10036,MERCER (US) INC.,Actuaries,CANADA,111509
IT,Accepted,10017,INTRALINKS; INC.,Computer Software Engineers; Applications,INDIA,111488
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10301,YPIS OF STATEN ISLAND; INC,Educational; Vocational; and School Counselors,UNITED KINGDOM,52437
Other Economic Sector,Accepted,10036,TEITLER & TEITLER; LLP,Law Clerks,FRANCE,72737.6
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants,NETHERLANDS,104562
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Operations Research Analysts,INDIA,122928
Other Economic Sector,Accepted,10023,TIME WARNER ENTERTAINMENT COMPANY; L.P.,Computer Software Engineers; Applications,INDIA,116397
Other Economic Sector,Accepted,10016,H ASSOCIATES,Architects; Except Landscape and Naval,SOUTH KOREA,103750.4
Finance,Accepted,10036,MERCER HEALTH & BENEFITS LLC,Actuaries,MALAYSIA,81120
IT,Accepted,10005,HUNTER GREEN ASSOCIATES LTD.,Computer Software Engineers; Applications,INDIA,117707.2
IT,Accepted,10019,WARNER MUSIC GROUP CORP,Operations Research Analysts,CANADA,80059
Finance,Accepted,10281,RBC CAPITAL MARKETS; LLC,Computer Software Engineers; Applications,INDIA,101628.8
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Operations Research Analysts,CHINA,86777.6
Other Economic Sector,Accepted,10014,QUIXOTIC SYSTEMS INC.,Electrical Engineers,INDIA,76190.4
Finance,Accepted,10041,STANDARD & POORS FINANCIAL SERVICES LLC,Computer Software Engineers; Applications,INDIA,84885
Finance,Accepted,10043,CITICORP CREDIT SERVICES; INC. (USA),Computer Software Engineers; Applications,INDIA,90376
Other Economic Sector,Accepted,10013,LOBSERVATOIRE INTERNATIONAL INC.,Commercial and Industrial Designers,SOUTH KOREA,68993.6
IT,Accepted,10005,EBUSINESSWARE; INC.,Computer Software Engineers; Applications,INDIA,84885
Finance,Accepted,10005,MSCI INC.,Computer Software Engineers; Applications,FRANCE,115876.8
Finance,Accepted,10005,DEUTSCHE BANK SECURITIES; INC.,Financial Managers,ICELAND,131248
Retail,Withdrawn,10018,DAVID Z INC,Shipping; Receiving; and Traffic Clerks,PHILIPPINES,37856
Finance,Accepted,10106,SOROS FUND MANAGEMENT,Financial Analysts,MALAYSIA,62566.4
Health Care,Accepted,11373,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,Medical and Health Services Managers,INDIA,none
Finance,Accepted,10005,DEUTSCHE BANK,Statisticians,CHINA,58843
Other Economic Sector,Accepted,10014,AHUJA PARTNERSHIP ARCHITECTS,Urban and Regional Planners,INDIA,none
Finance,Accepted,10019,BARCLAYS BANK PLC,Operations Research Analysts,BRAZIL,56950.4
Other Economic Sector,Accepted,10017,WCI CONSULTING LIMITED,Management Analysts,INDIA,128856
Finance,Accepted,10005,DEUTSCHE BANK,Computer Systems Analysts,AUSTRALIA,103834
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,CHINA,85592
IT,Accepted,10017,INTRALINKS; INC.,Computer Systems Analysts,INDIA,105456
Other Economic Sector,Accepted,10007,MOODYS SHARED SERVICES; INC.,Computer Software Engineers; Applications,INDIA,117707.2
Finance,Accepted,10007,MOODYS INVESTORS SERVICE; INC.,Financial Analysts,CHINA,113859
Other Economic Sector,Accepted,10005,SKIDMORE; OWINGS & MERRILL LLP,Architects; Except Landscape and Naval,GERMANY,69368
Finance,Accepted,10022,MOELIS & COMPANY HOLDINGS LP,Treasurers; Controllers; and Chief Financial Officers,RUSSIA,160680
IT,Withdrawn,10016,NEXT JUMP; INC.,Sales Engineers,CHINA,87692.8
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Accepted,10104,AXA EQUITABLE LIFE INSURANCE COMPANY,Financial Analysts,INDIA,86965
IT,Withdrawn,10016,NEXT JUMP; INC.,Computer Software Engineers; Applications,INDIA,85529.6
Finance,Accepted,10019,BARCLAYS CAPITAL INC.,Operations Research Analysts,CHINA,56950.4
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,RUSSIA,85592
Construction,Accepted,11232,J & A CONTRACTORS CORP.,Mechanical Engineers,INDIA,70200
Not Available,Accepted,11378,WORLD HYDROGEN ENERGY LLC,Chemical Engineers,INDIA,109595.2
Retail,Accepted,10037,LIFE PHARMA II INC,Pharmacists,INDIA,84884.8
Finance,Withdrawn,10036,INSTINET GROUP; LLC,Financial Analysts,CHINA,113859.2
Finance,Accepted,10043,CITIGROUP GLOBAL MARKETS INC.,Financial Managers,CANADA,131248
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,RUSSIA,85592
Finance,Accepted,10041,STANDARD & POORS FINANCIAL SERVICES LLC,Operations Research Analysts,CHINA,57054
Other Economic Sector,Accepted,10011,WEBMD LLC,Database Administrators,INDIA,103376
IT,Withdrawn,10016,NEXT JUMP; INC.,Computer Software Engineers; Applications,INDIA,85529.6
IT,Withdrawn,10016,NEXT JUMP; INC.,Computer Software Engineers; Applications,CHINA,85529.6
Retail,Accepted,10119,ZAHRA CAFE AND BAKERY INC,Financial Analysts,INDIA,88213
Finance,Accepted,10036,METLIFE GROUP; INC.,Accountants and Auditors,INDIA,106537
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Systems Analysts,INDIA,105456
Finance,Accepted,10018,MARKITSERV; LLC,Computer Software Engineers; Applications,INDIA,117707.2
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Accepted,10005,NINEALPHA CAPITAL LLP,Operations Research Analysts,INDIA,56950.4
IT,Accepted,10018,BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,Computer Software Engineers; Applications,INDIA,101628.8
Finance,Accepted,10043,CITIGROUP GLOBAL MARKETS INC.,Financial Managers,BULGARIA,168417.6
Construction,Accepted,11220,ALL ROOFING CORP.,Cost Estimators,TAJIKISTAN,95971
Finance,Accepted,10019,OZ MANAGEMENT,Financial Analysts,INDIA,113859.2
Finance,Accepted,10017,LIBRA ADVISORS; LLC,Financial Analysts,INDIA,113859.2
Finance,Accepted,10038,BGC PARTNERS INC.,Computer Systems Analysts,INDIA,74422.4
Not Available,Accepted,10010,MEDICAL DYNAMIC SYSTEMS; INC,Operations Research Analysts,PHILIPPINES,86777.6
Other Economic Sector,Withdrawn,10018,G-III LEATHER FASHIONS INC.,Wholesale and Retail Buyers; Except Farm Products,SOUTH KOREA,87859.2
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
IT,Accepted,10018,BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,Computer and Information Systems Managers,INDIA,125548.8
Finance,Accepted,10022,CANTOR FITZGERALD LP,Accountants and Auditors,INDIA,71905.6
Finance,Accepted,10043,CITIGROUP GLOBAL MARKETS INC.,Statisticians,CHINA,45094.4
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Operations Research Analysts,ISRAEL,72904
Health Care,Accepted,11224,SHOREFRONT JEWISH GERIATRIC CENTER; INC,Medical and Public Health Social Workers,TAIWAN,none
IT,Accepted,10018,ACTIVEHEALTH MANAGEMENT,Computer Software Engineers; Applications,INDIA,117707.2
Other Economic Sector,Accepted,10018,G-III LEATHER FASHIONS INC.,Wholesale and Retail Buyers; Except Farm Products,SOUTH KOREA,87859.2
Finance,Accepted,10019,BARCLAYS CAPITAL INC.,Management Analysts,KENYA,82014
Finance,Withdrawn,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Computer Systems Analysts,INDIA,71094.4
IT,Withdrawn,10006,AXIOM SOFTWARE LABORATORIES,Financial Analysts,INDIA,139505.6
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,CHINA,85592
Finance,Accepted,10038,BGC PARTNERS INC.,Computer Software Engineers; Applications,INDIA,117707.2
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
